INFO  - 2013-10-14 15:17:22.530; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2013-10-14 15:17:22.531; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/dist/solr-clustering-4.5.0.jar' to classloader
INFO  - 2013-10-14 15:17:22.531; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-10-14 15:17:22.531; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-10-14 15:17:22.532; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/dist/solr-langid-4.5.0.jar' to classloader
INFO  - 2013-10-14 15:17:22.532; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-10-14 15:17:22.533; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-10-14 15:17:22.533; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-10-14 15:17:22.533; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-10-14 15:17:22.534; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/dist/solr-velocity-4.5.0.jar' to classloader
INFO  - 2013-10-14 15:17:22.661; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-10-14 15:17:22.666; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_45
INFO  - 2013-10-14 15:17:22.761; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-10-14 15:17:22.766; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-10-14 15:17:22.832; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-10-14 15:17:23.294; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-10-14 15:17:23.368; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-10-14 15:17:23.375; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-10-14 15:17:23.484; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-10-14 15:17:23.490; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/, dataDir=/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/data/
INFO  - 2013-10-14 15:17:23.492; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-10-14 15:17:23.496; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-10-14 15:17:23.496; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-10-14 15:17:23.506; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/data
INFO  - 2013-10-14 15:17:23.506; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/data/index/
WARN  - 2013-10-14 15:17:23.507; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-10-14 15:17:23.511; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/nishiyama/git/dbflute-solr-example/solr-4.5.0/example/solr/collection1/data/index
INFO  - 2013-10-14 15:17:23.541; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
